tie 捆；束缚
yard 院子
! shatter 粉碎
flame 火焰
! bolt 闪电；螺栓
! tickle 发痒
pot 罐
tend 
lid 盖子
pour 倾倒
tend 照顾；倾向
coal 煤炭
cough 咳嗽
smash 打碎
statue 雕像
paradise 天堂
perch 栖息
bet 打赌；确信
rage 发怒
stab 刺，戳
octopus 章鱼
moan 呻吟，抱怨
struck 击打
swirl 旋转
giant 巨大的
sparrow 麻雀
hawk 鹰
! swoop 俯冲；突袭
crane 鹤
wide 宽的
tail 尾巴
! flagpole 旗杆
metal 金属
aim 瞄准；目标
hurl 猛投
! nap 打盹，小睡
meanwhile 与此同时
annual 每年
! maiden 少女
! gown 女礼服；长袍
mercy 仁慈
plenty 大量
startle 吓一跳
! lip 嘴唇
bite 咬
! furious 狂怒的
instant 立即的
cast 投射
horrible 十分讨厌的，糟糕的
nod 点头
stretch 伸展,舒展
shrug 耸肩
cliff 悬崖
scratch 挠
steep 陡的
swing 摆动，摇摆
raft 筏
wise 有智慧的
chin 下巴
frown 皱眉
feast 宴会
yell 叫喊
gibbon 长臂猿
cozy 温暖舒适的
bamboo 竹子
chore 杂务
meditation 冥想，沉思
chop 砍，劈
trail 小路，小道
clap 拍手；鼓掌
mutter 嘀咕，低语
soar 翱翔；急升
crept 缓慢行进，潜行
formula 公式
fierce 凶猛的
spear 矛
handful 一把；少数
sword 剑，刀
armor 盔甲
weapon 武器
disaster 灾难
demon 妖怪；魔鬼
measure 评估；测量
beam 光线
pillar 柱子
bar 棒
iron 铁
ink 墨水
pluck 采；摘；拔
flip 快速翻阅
flee 逃走
forth 向前
stomp 跺着脚走
yank 猛拉，猛拽
creepy 毛骨悚然的
fist 拳头
clench 握紧
pin 针；钉住
shrink 缩小
court 法庭；宫廷
complaint 抱怨
punish 处罚
troop 部队，军队
arrest 逮捕
planet 行星
eyebrow 眉毛
charge 充电；收费；责任
royal 皇家，王室
gasp 喘息
glow 发光
hang 悬挂
ripe 成熟的（水果、谷物）
inspect 检查
