justice | 公正；公平；审判
federal | 联邦
issue | 问题，议题；发行；公布
benefit | 利益
concern | 关注;担忧
digital | 数字的；数码的
financial | 财务的；金融的
claim | 声称；索赔
essay | 随笔；短文
executive | 管理人员；行政的
mental | 精神的；思想的
political | 政治的
impact | 影响；冲击
society | 社会
survey | 调查；测量
fund | 基金
community | 社区
liberal | 开明的；大方的
reform | 改革
comprehension | 理解力；领悟能力
comprehensive | 全面的；综合的
factor | 因素
labor | 劳动；工作
pension | 退休金
passion | 激情
sense | 感觉；意识
authority | 权威；权力
congress | 国会
infer | 推断
structure | 结构
constitution | 宪法
further | 进一步；更多的
rural | 农村的
campaign | 战役；运动
conclude | （使）结束；得出结论
crisis | 危机
evidence | 证据
novel | 新颖的；小说
nuclear | 核能的；核武器
present | 目前；礼物；存在；出席
presence | 存在；在场
profession | 职业
royal | 皇家的
senior | 高级的；上级
conduct | 行为，举止；实施，执行
criticism | 批评
economy | 经济；节约
feature | 特征；功能
indicate | 表明；指示
maintain | 保持；保养
negative | 负面的；消极的
pattern | 模式;图案
potential | 潜力
principle | 原则；原理
professor | 教授
rely | 依赖；依靠
association | 关联
chief | 首领；上司（口语）；头头
decline | 下降
guarantee | 保证；担保
institution | 机构；制度
interpret | 解释
opportunity | 机会
