classify | 分类
exhibit | 展览；展示
enterprise | 企业；事业心
essential | 必要的；基本的
stroke | 中风
scale | 规模；比例
routine | 日常
span | 跨度；跨越
captive | 俘虏
rob | 抢劫
instinct | 本能；直觉
independent | 独立的
implication | 含义；暗示
humor | 幽默
extent | 程度；范围；面积
emphasis | 强调
discipline | 纪律
demonstrate | 展示；演示；证明
cosmic | 宇宙的
adapt | 适应
acquire | 获得
suicide | 自杀
manifest | 清单；明显的
interview | 面试；采访
obtain | 获得
culture | 文化
constitute | 组成；构成
gas | 气体
alter | 改变
inflation | 通货膨胀；充气
capacity | 容量
ambition | 野心；抱负
drug | 药物
social | 社会的
confidence | 自信
agency | 机构
union | 联合，联盟
advocate | 提倡
recession | 经济衰退
revenue | 收入
involve | 涉及；包含
immigrant | 移民
analysis | 分析
specific | 特定的；具体的；明确的
series | 系列
majority | 大多数，大部分
species | 物种
astonish | 震惊
convenient | 方便
! cautious | 谨慎的
occasion | 场合；时机
typical | 典型的
amuse | 娱乐
regard | 尊重
regardless | 不管不顾
! accurate | 精准的
bury | 埋葬
shame | 羞耻
bitter | 味苦的
bid | 投标
citizen | 公民
! ceremony | 仪式；典礼
compete | 竞争；比赛
faith | 信仰
sympathy | 同情
debate | 辩论
motivate | 激励
concert | 音乐会
concept | 概念；观念
hire | 雇用；聘用
narrow | 狭窄
prison | 监狱
chemical | 化学的
victim | 受害者
profit | 利润
ancient | 古代的
possess | 拥有
accommodation | 住宿；住处
colleague | 同事
rapid | 迅速
permit | 允许
wealth | 财富
delight | 高兴
urgent | 紧急
opposite | 相反的
complain | 抱怨
predict | 预测
consume | 消耗
literature | 文学
pollution | 污染
risk | 风险
eager | 渴望的
persuade | 说服
fellow | 同事;同伴
regret | 后悔
fair | 公平的
desert | 沙漠
destruction | 毁灭
praise | 赞扬
shock | 震惊
announce | 宣布
hardly | 几乎不
remind | 提醒
impress | 印象
distant | 遥远的
spread | 传播，扩散
lack | 缺乏
determine | 确定；下决心
refer | 参考；提到
disappoint | （使）失望
appoint | 任命
vary | 变化；改变
wild | 野生的
fit | 适合
sensitive | 敏感的
mislead | 误导
wonder | 奇迹；想知道
still | 静止的；仍然
tie | 系；关系；连接；领带
secure | 保护；安全的
separate | 分开；单独的
solution | 解决方案；溶液
spouse | 配偶，夫妻
treat | 对待
threat | 威胁
urge | 催促；冲动
variety | 多样性；品种
allowance | 津贴
boost | 促进；提高
brief | 简洁的；短暂的
board | 板子
broad | 宽阔的
cite | 引用
quote | 引用
contrast | 对比
enhance | 增强；提高
evolution | 进化
host | 主机；主持人；主人
! innovate | 创新
journal | 期刊
navy | 海军
permanent | 永久的
proposal | 提案；建议
regular | 常规的
represent | 代表
restore | 恢复
sustain | 维持
repute | 名声；声誉
sector | 部门；行业
significant | 重要的；意义重大的
suspect | 怀疑
scope | 作用域；范围
telescope | 望远镜
tolerance | 容忍
artificial | 人工的
assess | 评估
astronomy | 天文学
bias | 偏见
career | 职业
cancer | 癌症
celebrity | 名人
! consious | 意识到
squence | 序列；顺序
consquence | 后果
critical | 关键的；批评的
desire | 欲望
emerge | 浮现
entrepreneur | 企业家
flaw | 缺陷；瑕疵
hijack | 劫持
inspire | 鼓舞
intelligence | 智力
invest | 投资
moral | 道德的
legitimate | 合法的
oppose | 反对
particular | 特指的
prospect | 前景
reveal | 揭示；透露
justice | 公正；公平；审判
federal | 联邦
issue | 问题，议题；发行；公布
benefit | 利益
concern | 关注;担忧
digital | 数字的；数码的
financial | 财务的；金融的
claim | 声称；索赔
essay | 随笔；短文
executive | 管理人员；行政的
mental | 精神的；思想的
political | 政治的
impact | 影响；冲击
society | 社会
survey | 调查；测量
fund | 基金
community | 社区
liberal | 开明的；大方的
reform | 改革
comprehension | 理解力；领悟能力
comprehensive | 全面的；综合的
factor | 因素
labor | 劳动；工作
pension | 退休金
passion | 激情
sense | 感觉；意识
authority | 权威；权力
congress | 国会
infer | 推断
structure | 结构
! constitution | 宪法
further | 进一步；更多的
rural | 农村的
campaign | 战役；运动
! conclude | （使）结束；得出结论
crisis | 危机
evidence | 证据
novel | 新颖的；小说
nuclear | 核能的；核武器
present | 目前；礼物；存在；出席
presence | 存在；在场
profession | 职业
royal | 皇家的
senior | 高级的；上级
conduct | 执行；行为，举止
! criticism | 批评
economy | 经济；节约
feature | 特征；功能
! indicate | 表明；指示
maintain | 保持；保养
negative | 负面的；消极的
pattern | 模式;图案
! potential | 潜力
principle | 原则；原理
professor | 教授
rely | 依赖；依靠
association | 关联
chief | 首领；上司（口语）；头头
decline | 下降
! guarantee | 保证；担保
! institution | 机构；制度
interpret | 解释
opportunity | 机会
